round,event,circuit,driver,team,grid,n_entrants,pace_delta,laps_completed,status,finish_rank
1,Australian Grand Prix,Melbourne,RUS,Mercedes,1,22,-2.092,58,Finished,1
1,Australian Grand Prix,Melbourne,ANT,Mercedes,2,22,-2.163,58,Finished,2
1,Australian Grand Prix,Melbourne,LEC,Ferrari,4,22,-2.019,58,Finished,3
1,Australian Grand Prix,Melbourne,HAM,Ferrari,7,22,-1.869,58,Finished,4
1,Australian Grand Prix,Melbourne,NOR,McLaren,6,22,-1.662,58,Finished,5
1,Australian Grand Prix,Melbourne,VER,Red Bull Racing,20,22,-1.646,58,Finished,6
1,Australian Grand Prix,Melbourne,BEA,Haas F1 Team,12,22,-0.558,57,Lapped,7
1,Australian Grand Prix,Melbourne,LIN,Racing Bulls,9,22,-0.317,57,Lapped,8
1,Australian Grand Prix,Melbourne,BOR,Audi,10,22,-0.558,57,Lapped,9
1,Australian Grand Prix,Melbourne,GAS,Alpine,14,22,0.011,57,Lapped,10
1,Australian Grand Prix,Melbourne,OCO,Haas F1 Team,13,22,0.06,57,Lapped,11
1,Australian Grand Prix,Melbourne,ALB,Williams,15,22,0.137,57,Lapped,12
1,Australian Grand Prix,Melbourne,LAW,Racing Bulls,8,22,-0.011,57,Lapped,13
1,Australian Grand Prix,Melbourne,COL,Alpine,16,22,0.454,56,Lapped,14
1,Australian Grand Prix,Melbourne,SAI,Williams,21,22,0.421,56,Lapped,15
1,Australian Grand Prix,Melbourne,PER,Cadillac,18,22,2.347,55,Lapped,16
1,Australian Grand Prix,Melbourne,STR,Aston Martin,22,22,2.214,43,Lapped,17
1,Australian Grand Prix,Melbourne,ALO,Aston Martin,17,22,2.245,22,Retired,18
1,Australian Grand Prix,Melbourne,BOT,Cadillac,19,22,2.592,16,Retired,19
1,Australian Grand Prix,Melbourne,HAD,Red Bull Racing,3,22,0.18,11,Retired,20
1,Australian Grand Prix,Melbourne,PIA,McLaren,5,22,,0,Did not start,21
1,Australian Grand Prix,Melbourne,HUL,Audi,11,22,,0,Did not start,22
2,Chinese Grand Prix,Shanghai,ANT,Mercedes,1,22,-1.915,56,Finished,1
2,Chinese Grand Prix,Shanghai,RUS,Mercedes,2,22,-1.779,56,Finished,2
2,Chinese Grand Prix,Shanghai,HAM,Ferrari,3,22,-1.369,56,Finished,3
2,Chinese Grand Prix,Shanghai,LEC,Ferrari,4,22,-1.356,56,Finished,4
2,Chinese Grand Prix,Shanghai,BEA,Haas F1 Team,10,22,-0.704,56,Finished,5
2,Chinese Grand Prix,Shanghai,GAS,Alpine,7,22,-0.626,56,Finished,6
2,Chinese Grand Prix,Shanghai,LAW,Racing Bulls,14,22,-0.211,56,Finished,7
2,Chinese Grand Prix,Shanghai,HAD,Red Bull Racing,9,22,-0.153,56,Finished,8
2,Chinese Grand Prix,Shanghai,SAI,Williams,17,22,0.516,55,Lapped,9
2,Chinese Grand Prix,Shanghai,COL,Alpine,12,22,0.191,55,Lapped,10
2,Chinese Grand Prix,Shanghai,HUL,Audi,11,22,0.19,55,Lapped,11
2,Chinese Grand Prix,Shanghai,LIN,Racing Bulls,15,22,0.331,55,Lapped,12
2,Chinese Grand Prix,Shanghai,BOT,Cadillac,19,22,1.564,55,Lapped,13
2,Chinese Grand Prix,Shanghai,OCO,Haas F1 Team,13,22,0.153,55,Lapped,14
2,Chinese Grand Prix,Shanghai,PER,Cadillac,21,22,1.798,55,Lapped,15
2,Chinese Grand Prix,Shanghai,VER,Red Bull Racing,8,22,-0.432,45,Retired,16
2,Chinese Grand Prix,Shanghai,ALO,Aston Martin,18,22,2.157,32,Retired,17
2,Chinese Grand Prix,Shanghai,STR,Aston Martin,20,22,2.8,10,Retired,18
2,Chinese Grand Prix,Shanghai,PIA,McLaren,5,22,,0,Did not start,19
2,Chinese Grand Prix,Shanghai,NOR,McLaren,6,22,,0,Did not start,20
2,Chinese Grand Prix,Shanghai,BOR,Audi,16,22,,0,Did not start,21
2,Chinese Grand Prix,Shanghai,ALB,Williams,22,22,,0,Did not start,22
3,Japanese Grand Prix,Suzuka,ANT,Mercedes,1,22,-2.072,53,Finished,1
3,Japanese Grand Prix,Suzuka,PIA,McLaren,3,22,-1.731,53,Finished,2
3,Japanese Grand Prix,Suzuka,LEC,Ferrari,4,22,-1.695,53,Finished,3
3,Japanese Grand Prix,Suzuka,RUS,Mercedes,2,22,-1.379,53,Finished,4
3,Japanese Grand Prix,Suzuka,NOR,McLaren,5,22,-1.352,53,Finished,5
3,Japanese Grand Prix,Suzuka,HAM,Ferrari,6,22,-0.777,53,Finished,6
3,Japanese Grand Prix,Suzuka,GAS,Alpine,7,22,-0.982,53,Finished,7
3,Japanese Grand Prix,Suzuka,VER,Red Bull Racing,11,22,-1.093,53,Finished,8
3,Japanese Grand Prix,Suzuka,LAW,Racing Bulls,14,22,-0.513,53,Finished,9
3,Japanese Grand Prix,Suzuka,OCO,Haas F1 Team,12,22,-0.547,53,Finished,10
3,Japanese Grand Prix,Suzuka,HUL,Audi,13,22,0.176,53,Finished,11
3,Japanese Grand Prix,Suzuka,HAD,Red Bull Racing,8,22,0.124,53,Finished,12
3,Japanese Grand Prix,Suzuka,BOR,Audi,9,22,0.207,53,Finished,13
3,Japanese Grand Prix,Suzuka,LIN,Racing Bulls,10,22,-0.123,53,Finished,14
3,Japanese Grand Prix,Suzuka,SAI,Williams,16,22,0.413,53,Finished,15
3,Japanese Grand Prix,Suzuka,COL,Alpine,15,22,0.151,53,Finished,16
3,Japanese Grand Prix,Suzuka,PER,Cadillac,19,22,1.028,53,Finished,17
3,Japanese Grand Prix,Suzuka,ALO,Aston Martin,21,22,2.427,52,Lapped,18
3,Japanese Grand Prix,Suzuka,BOT,Cadillac,20,22,1.778,52,Lapped,19
3,Japanese Grand Prix,Suzuka,ALB,Williams,17,22,1.309,51,Lapped,20
3,Japanese Grand Prix,Suzuka,STR,Aston Martin,22,22,2.977,30,Retired,21
3,Japanese Grand Prix,Suzuka,BEA,Haas F1 Team,18,22,1.275,21,Retired,22
4,Miami Grand Prix,Miami Gardens,ANT,Mercedes,1,22,-2.144,57,Finished,1
4,Miami Grand Prix,Miami Gardens,NOR,McLaren,4,22,-1.974,57,Finished,2
4,Miami Grand Prix,Miami Gardens,PIA,McLaren,7,22,-1.411,57,Finished,3
