round,event,driver,lap_number,stint,compound,tyre_age,lap_time,track_status,is_clean
1,Australian Grand Prix,NOR,1.0,1.0,MEDIUM,1.0,96.458,1,False
1,Australian Grand Prix,NOR,2.0,1.0,MEDIUM,2.0,87.344,1,False
1,Australian Grand Prix,NOR,3.0,1.0,MEDIUM,3.0,86.863,1,True
1,Australian Grand Prix,NOR,4.0,1.0,MEDIUM,4.0,85.857,1,True
1,Australian Grand Prix,NOR,5.0,1.0,MEDIUM,5.0,85.573,1,True
1,Australian Grand Prix,NOR,6.0,1.0,MEDIUM,6.0,85.036,1,True
1,Australian Grand Prix,NOR,7.0,1.0,MEDIUM,7.0,84.978,1,True
1,Australian Grand Prix,NOR,8.0,1.0,MEDIUM,8.0,85.299,1,True
1,Australian Grand Prix,NOR,9.0,1.0,MEDIUM,9.0,85.639,1,True
1,Australian Grand Prix,NOR,10.0,1.0,MEDIUM,10.0,85.295,1,True
1,Australian Grand Prix,NOR,11.0,1.0,MEDIUM,11.0,103.391,16,False
1,Australian Grand Prix,NOR,12.0,2.0,HARD,1.0,118.075,6,False
1,Australian Grand Prix,NOR,13.0,2.0,HARD,2.0,111.932,671,False
1,Australian Grand Prix,NOR,14.0,2.0,HARD,3.0,84.233,1,True
1,Australian Grand Prix,NOR,15.0,2.0,HARD,4.0,83.784,1,True
1,Australian Grand Prix,NOR,16.0,2.0,HARD,5.0,83.912,1,True
1,Australian Grand Prix,NOR,17.0,2.0,HARD,6.0,84.053,1,True
1,Australian Grand Prix,NOR,18.0,2.0,HARD,7.0,95.404,126,False
1,Australian Grand Prix,NOR,19.0,2.0,HARD,8.0,116.07,67,False
1,Australian Grand Prix,NOR,20.0,2.0,HARD,9.0,85.774,71,False
1,Australian Grand Prix,NOR,21.0,2.0,HARD,10.0,83.972,1,True
1,Australian Grand Prix,NOR,22.0,2.0,HARD,11.0,83.687,1,True
1,Australian Grand Prix,NOR,23.0,2.0,HARD,12.0,83.534,1,True
1,Australian Grand Prix,NOR,24.0,2.0,HARD,13.0,83.394,1,True
1,Australian Grand Prix,NOR,25.0,2.0,HARD,14.0,83.5,1,True
1,Australian Grand Prix,NOR,26.0,2.0,HARD,15.0,83.403,1,True
1,Australian Grand Prix,NOR,27.0,2.0,HARD,16.0,83.896,1,True
1,Australian Grand Prix,NOR,28.0,2.0,HARD,17.0,84.04,1,True
1,Australian Grand Prix,NOR,29.0,2.0,HARD,18.0,84.08,1,True
1,Australian Grand Prix,NOR,30.0,2.0,HARD,19.0,83.961,1,True
1,Australian Grand Prix,NOR,31.0,2.0,HARD,20.0,84.094,1,True
1,Australian Grand Prix,NOR,32.0,2.0,HARD,21.0,84.075,1,True
1,Australian Grand Prix,NOR,33.0,2.0,HARD,22.0,84.79,1,True
1,Australian Grand Prix,NOR,34.0,2.0,HARD,23.0,112.732,167,False
1,Australian Grand Prix,NOR,35.0,3.0,MEDIUM,1.0,89.434,1,False
