season,round,event,circuit,total_laps
2018,1,Australian Grand Prix,Melbourne,58
2018,2,Bahrain Grand Prix,Sakhir,57
2018,3,Chinese Grand Prix,Shanghai,56
2018,4,Azerbaijan Grand Prix,Baku,51
2018,5,Spanish Grand Prix,Barcelona,66
2018,6,Monaco Grand Prix,Monte Carlo,78
2018,7,Canadian Grand Prix,Montréal,70
2018,8,French Grand Prix,Le Castellet,53
2018,9,Austrian Grand Prix,Spielberg,71
2018,10,British Grand Prix,Silverstone,52
2018,11,German Grand Prix,Hockenheim,67
2018,12,Hungarian Grand Prix,Budapest,70
2018,13,Belgian Grand Prix,Spa-Francorchamps,44
2018,15,Singapore Grand Prix,Singapore,61
2018,16,Russian Grand Prix,Sochi,53
2018,17,Japanese Grand Prix,Suzuka,53
2018,18,United States Grand Prix,Austin,56
2018,19,Mexican Grand Prix,Mexico City,71
2018,20,Brazilian Grand Prix,São Paulo,71
2018,21,Abu Dhabi Grand Prix,Yas Marina,55
2019,1,Australian Grand Prix,Melbourne,58
2019,2,Bahrain Grand Prix,Sakhir,57
2019,3,Chinese Grand Prix,Shanghai,56
2019,4,Azerbaijan Grand Prix,Baku,51
2019,5,Spanish Grand Prix,Barcelona,66
2019,6,Monaco Grand Prix,Monte Carlo,78
2019,7,Canadian Grand Prix,Montréal,70
2019,8,French Grand Prix,Le Castellet,53
2019,9,Austrian Grand Prix,Spielberg,71
2019,10,British Grand Prix,Silverstone,52
2019,11,German Grand Prix,Hockenheim,64
2019,12,Hungarian Grand Prix,Budapest,70
2019,13,Belgian Grand Prix,Spa-Francorchamps,44
2019,14,Italian Grand Prix,Monza,53
2019,15,Singapore Grand Prix,Singapore,61
2019,16,Russian Grand Prix,Sochi,53
2019,17,Japanese Grand Prix,Suzuka,53
2019,18,Mexican Grand Prix,Mexico City,71
2019,19,United States Grand Prix,Austin,56
2019,20,Brazilian Grand Prix,São Paulo,71
2019,21,Abu Dhabi Grand Prix,Yas Island,55
2020,1,Austrian Grand Prix,Spielberg,68
2020,2,Styrian Grand Prix,Spielberg,71
2020,3,Hungarian Grand Prix,Budapest,70
2020,4,British Grand Prix,Silverstone,52
2020,5,70th Anniversary Grand Prix,Silverstone,52
2020,6,Spanish Grand Prix,Barcelona,66
2020,7,Belgian Grand Prix,Spa-Francorchamps,44
2020,8,Italian Grand Prix,Monza,53
2020,9,Tuscan Grand Prix,Mugello,59
2020,10,Russian Grand Prix,Sochi,53
2020,11,Eifel Grand Prix,Nürburgring,60
2020,12,Portuguese Grand Prix,Portimão,66
2020,13,Emilia Romagna Grand Prix,Imola,63
2020,14,Turkish Grand Prix,Istanbul,58
2020,15,Bahrain Grand Prix,Sakhir,57
2020,16,Sakhir Grand Prix,Sakhir,87
2020,17,Abu Dhabi Grand Prix,Yas Island,55
2021,1,Bahrain Grand Prix,Sakhir,56
2021,2,Emilia Romagna Grand Prix,Imola,63
2021,3,Portuguese Grand Prix,Portimão,66
2021,4,Spanish Grand Prix,Barcelona,66
2021,5,Monaco Grand Prix,Monte Carlo,78
2021,6,Azerbaijan Grand Prix,Baku,51
2021,7,French Grand Prix,Le Castellet,53
2021,8,Styrian Grand Prix,Spielberg,71
2021,9,Austrian Grand Prix,Spielberg,71
2021,10,British Grand Prix,Silverstone,52
2021,11,Hungarian Grand Prix,Budapest,70
2021,12,Belgian Grand Prix,Spa-Francorchamps,3
2021,13,Dutch Grand Prix,Zandvoort,72
2021,14,Italian Grand Prix,Monza,53
2021,15,Russian Grand Prix,Sochi,53
2021,16,Turkish Grand Prix,Istanbul,58
2021,17,United States Grand Prix,Austin,56
2021,18,Mexico City Grand Prix,Mexico City,71
2021,19,São Paulo Grand Prix,São Paulo,71
2021,20,Qatar Grand Prix,Lusail,57
2021,21,Saudi Arabian Grand Prix,Jeddah,50
2021,22,Abu Dhabi Grand Prix,Yas Island,58
2022,1,Bahrain Grand Prix,Sakhir,57
2022,2,Saudi Arabian Grand Prix,Jeddah,50
2022,3,Australian Grand Prix,Melbourne,58
2022,4,Emilia Romagna Grand Prix,Imola,63
2022,5,Miami Grand Prix,Miami,57
2022,6,Spanish Grand Prix,Barcelona,66
2022,7,Monaco Grand Prix,Monaco,64
2022,8,Azerbaijan Grand Prix,Baku,51
2022,9,Canadian Grand Prix,Montréal,70
2022,10,British Grand Prix,Silverstone,52
2022,11,Austrian Grand Prix,Spielberg,71
2022,12,French Grand Prix,Le Castellet,53
2022,13,Hungarian Grand Prix,Budapest,70
2022,14,Belgian Grand Prix,Spa-Francorchamps,44
2022,15,Dutch Grand Prix,Zandvoort,72
2022,16,Italian Grand Prix,Monza,53
2022,17,Singapore Grand Prix,Marina Bay,59
2022,18,Japanese Grand Prix,Suzuka,29
2022,19,United States Grand Prix,Austin,56
2022,20,Mexico City Grand Prix,Mexico City,71
2022,21,São Paulo Grand Prix,São Paulo,71
2022,22,Abu Dhabi Grand Prix,Yas Island,58
2023,1,Bahrain Grand Prix,Sakhir,57
2023,2,Saudi Arabian Grand Prix,Jeddah,50
2023,3,Australian Grand Prix,Melbourne,58
2023,4,Azerbaijan Grand Prix,Baku,51
2023,5,Miami Grand Prix,Miami,57
2023,6,Monaco Grand Prix,Monaco,78
2023,7,Spanish Grand Prix,Barcelona,66
2023,8,Canadian Grand Prix,Montréal,70
2023,9,Austrian Grand Prix,Spielberg,71
2023,10,British Grand Prix,Silverstone,52
2023,11,Hungarian Grand Prix,Budapest,70
2023,12,Belgian Grand Prix,Spa-Francorchamps,44
2023,13,Dutch Grand Prix,Zandvoort,72
2023,14,Italian Grand Prix,Monza,51
2023,15,Singapore Grand Prix,Marina Bay,62
2023,16,Japanese Grand Prix,Suzuka,53
2023,17,Qatar Grand Prix,Lusail,57
2023,18,United States Grand Prix,Austin,56
2023,19,Mexico City Grand Prix,Mexico City,71
2023,20,São Paulo Grand Prix,São Paulo,71
2023,21,Las Vegas Grand Prix,Las Vegas,50
2023,22,Abu Dhabi Grand Prix,Yas Island,58
2024,1,Bahrain Grand Prix,Sakhir,57
2024,2,Saudi Arabian Grand Prix,Jeddah,50
2024,3,Australian Grand Prix,Melbourne,58
2024,4,Japanese Grand Prix,Suzuka,53
2024,5,Chinese Grand Prix,Shanghai,56
2024,6,Miami Grand Prix,Miami,57
2024,7,Emilia Romagna Grand Prix,Imola,63
2024,8,Monaco Grand Prix,Monaco,78
2024,9,Canadian Grand Prix,Montréal,70
2024,10,Spanish Grand Prix,Barcelona,66
2024,11,Austrian Grand Prix,Spielberg,71
2024,12,British Grand Prix,Silverstone,52
2024,13,Hungarian Grand Prix,Budapest,70
2024,14,Belgian Grand Prix,Spa-Francorchamps,44
2024,15,Dutch Grand Prix,Zandvoort,72
2024,16,Italian Grand Prix,Monza,53
2024,17,Azerbaijan Grand Prix,Baku,51
2024,18,Singapore Grand Prix,Marina Bay,62
2024,19,United States Grand Prix,Austin,56
2024,20,Mexico City Grand Prix,Mexico City,71
2024,21,São Paulo Grand Prix,São Paulo,69
2024,22,Las Vegas Grand Prix,Las Vegas,50
2024,23,Qatar Grand Prix,Lusail,57
2024,24,Abu Dhabi Grand Prix,Yas Island,58
2025,1,Australian Grand Prix,Melbourne,57
